assay,scheme,spearman
RL20_AQUAE_Tsuboyama_2023_1GYZ,fold_random_5,0.8108496451861097
RL20_AQUAE_Tsuboyama_2023_1GYZ,fold_modulo_5,0.6119427687545702
RL20_AQUAE_Tsuboyama_2023_1GYZ,fold_contiguous_5,0.5824925513957104
YNZC_BACSU_Tsuboyama_2023_2JVD,fold_random_5,0.8887391298578492
YNZC_BACSU_Tsuboyama_2023_2JVD,fold_modulo_5,0.7991873319321549
YNZC_BACSU_Tsuboyama_2023_2JVD,fold_contiguous_5,0.8006642478880743
Q8WTC7_9CNID_Somermeyer_2022,fold_random_5,0.6828065768819939
Q8WTC7_9CNID_Somermeyer_2022,fold_modulo_5,0.5367591492266552
Q8WTC7_9CNID_Somermeyer_2022,fold_contiguous_5,0.4473278826978071
PPARG_HUMAN_Majithia_2016,fold_random_5,0.9498865983957704
PPARG_HUMAN_Majithia_2016,fold_modulo_5,0.8836317342828561
PPARG_HUMAN_Majithia_2016,fold_contiguous_5,0.7643688630118993
FKBP3_HUMAN_Tsuboyama_2023_2KFV,fold_random_5,0.8442295029623706
FKBP3_HUMAN_Tsuboyama_2023_2KFV,fold_modulo_5,0.6877967234856163
FKBP3_HUMAN_Tsuboyama_2023_2KFV,fold_contiguous_5,0.6435228523863388
SPG1_STRSG_Wu_2016,fold_random_5,0.7805331510594669
SPG1_STRSG_Wu_2016,fold_modulo_5,0.7778263841421736
SPG1_STRSG_Wu_2016,fold_contiguous_5,0.7778263841421736
PAI1_HUMAN_Huttinger_2021,fold_random_5,0.5985779788897055
PAI1_HUMAN_Huttinger_2021,fold_modulo_5,0.5435346670951524
PAI1_HUMAN_Huttinger_2021,fold_contiguous_5,0.5131240784066473
LGK_LIPST_Klesmith_2015,fold_random_5,0.7820073667774556
LGK_LIPST_Klesmith_2015,fold_modulo_5,0.6823880013904292
LGK_LIPST_Klesmith_2015,fold_contiguous_5,0.625942597368502
RPC1_LAMBD_Li_2019_high-expression,fold_random_5,0.5834715284715285
RPC1_LAMBD_Li_2019_high-expression,fold_modulo_5,0.5532761682761682
RPC1_LAMBD_Li_2019_high-expression,fold_contiguous_5,0.5381948606948607
SERC_HUMAN_Xie_2023,fold_random_5,0.6595400960808571
SERC_HUMAN_Xie_2023,fold_modulo_5,0.6119987625949568
SERC_HUMAN_Xie_2023,fold_contiguous_5,0.5915945690287004
A0A192B1T2_9HIV1_Haddox_2018,fold_random_5,0.835132255922625
A0A192B1T2_9HIV1_Haddox_2018,fold_modulo_5,0.6215117455755577
A0A192B1T2_9HIV1_Haddox_2018,fold_contiguous_5,0.545225242578031
SPA_STAAU_Tsuboyama_2023_1LP1,fold_random_5,0.9090999790352244
SPA_STAAU_Tsuboyama_2023_1LP1,fold_modulo_5,0.7987132584727407
SPA_STAAU_Tsuboyama_2023_1LP1,fold_contiguous_5,0.680799241761314
ISDH_STAAW_Tsuboyama_2023_2LHR,fold_random_5,0.8864576602368943
ISDH_STAAW_Tsuboyama_2023_2LHR,fold_modulo_5,0.7828747867793018
ISDH_STAAW_Tsuboyama_2023_2LHR,fold_contiguous_5,0.7069389833209457
CBS_HUMAN_Sun_2020,fold_random_5,0.47020935979340384
CBS_HUMAN_Sun_2020,fold_modulo_5,0.45068397057255205
CBS_HUMAN_Sun_2020,fold_contiguous_5,0.4998934388961741
RAF1_HUMAN_Zinkus-Boltz_2019,fold_random_5,0.43073272663273354
RAF1_HUMAN_Zinkus-Boltz_2019,fold_modulo_5,0.4233209271386334
RAF1_HUMAN_Zinkus-Boltz_2019,fold_contiguous_5,0.47607245914695945
TAT_HV1BR_Fernandes_2016,fold_random_5,0.5825109584740509
TAT_HV1BR_Fernandes_2016,fold_modulo_5,0.4645761770559981
TAT_HV1BR_Fernandes_2016,fold_contiguous_5,0.5117332738337883
KCNE1_HUMAN_Muhammad_2023_expression,fold_random_5,0.7918549869427078
KCNE1_HUMAN_Muhammad_2023_expression,fold_modulo_5,0.5835682477440431
KCNE1_HUMAN_Muhammad_2023_expression,fold_contiguous_5,0.2250494318423673
AICDA_HUMAN_Gajula_2014_3cycles,fold_random_5,0.3346262867234093
AICDA_HUMAN_Gajula_2014_3cycles,fold_modulo_5,0.23264725632318328
AICDA_HUMAN_Gajula_2014_3cycles,fold_contiguous_5,0.4608945416805616
HCP_LAMBD_Tsuboyama_2023_2L6Q,fold_random_5,0.9142367102211278
HCP_LAMBD_Tsuboyama_2023_2L6Q,fold_modulo_5,0.825915647538079
HCP_LAMBD_Tsuboyama_2023_2L6Q,fold_contiguous_5,0.7818352592923854
GDIA_HUMAN_Silverstein_2021,fold_random_5,0.5286488327653267
GDIA_HUMAN_Silverstein_2021,fold_modulo_5,0.518036042850919
GDIA_HUMAN_Silverstein_2021,fold_contiguous_5,0.5054774706951423
DLG4_RAT_McLaughlin_2012,fold_random_5,0.761318279927013
DLG4_RAT_McLaughlin_2012,fold_modulo_5,0.6336150064183226
DLG4_RAT_McLaughlin_2012,fold_contiguous_5,0.5593849994627609
TNKS2_HUMAN_Tsuboyama_2023_5JRT,fold_random_5,0.9471422437833261
TNKS2_HUMAN_Tsuboyama_2023_5JRT,fold_modulo_5,0.8471598902370739
TNKS2_HUMAN_Tsuboyama_2023_5JRT,fold_contiguous_5,0.7884387231026241
MET_HUMAN_Estevam_2023,fold_random_5,0.6942741079377266
MET_HUMAN_Estevam_2023,fold_modulo_5,0.6387130904924365
MET_HUMAN_Estevam_2023,fold_contiguous_5,0.6542924607331432
MSH2_HUMAN_Jia_2020,fold_random_5,0.6654488928377491
