assay,scheme,spearman,n
YNZC_BACSU_Tsuboyama_2023_2JVD,fold_random_5,0.9101480185604043,714
YNZC_BACSU_Tsuboyama_2023_2JVD,fold_modulo_5,0.8503000032019801,714
YNZC_BACSU_Tsuboyama_2023_2JVD,fold_contiguous_5,0.8319882053758173,714
YAIA_ECOLI_Tsuboyama_2023_2KVT,fold_random_5,0.9013908092635743,928
YAIA_ECOLI_Tsuboyama_2023_2KVT,fold_modulo_5,0.7422857205149735,928
YAIA_ECOLI_Tsuboyama_2023_2KVT,fold_contiguous_5,0.7433950211575321,928
VKOR1_HUMAN_Chiasson_2020_activity,fold_random_5,0.46383641677679904,697
VKOR1_HUMAN_Chiasson_2020_activity,fold_modulo_5,0.4455233376913879,697
VKOR1_HUMAN_Chiasson_2020_activity,fold_contiguous_5,0.42096997057536734,697
VILI_CHICK_Tsuboyama_2023_1YU5,fold_random_5,0.938533101999637,1202
VILI_CHICK_Tsuboyama_2023_1YU5,fold_modulo_5,0.8226174326613476,1202
VILI_CHICK_Tsuboyama_2023_1YU5,fold_contiguous_5,0.7622666336498267,1202
UBR5_HUMAN_Tsuboyama_2023_1I2T,fold_random_5,0.9155822212357497,1094
UBR5_HUMAN_Tsuboyama_2023_1I2T,fold_modulo_5,0.8172864978315196,1094
UBR5_HUMAN_Tsuboyama_2023_1I2T,fold_contiguous_5,0.7997603184716072,1094
UBE4B_HUMAN_Tsuboyama_2023_3L1X,fold_random_5,0.9355656311914038,1118
UBE4B_HUMAN_Tsuboyama_2023_3L1X,fold_modulo_5,0.799763827164036,1118
UBE4B_HUMAN_Tsuboyama_2023_3L1X,fold_contiguous_5,0.782018078381801,1118
TRPC_THEMA_Chan_2017,fold_modulo_5,0.5395219182920463,1519
TRPC_THEMA_Chan_2017,fold_contiguous_5,0.471991818814445,1519
